2025-10-03 19:20:07 | INFO     | src.data.database.vector_store:__init__ | Initializing vector store: documents
2025-10-03 19:20:07 | INFO     | src.models.embeddings:__init__ | Loading embedding model: all-MiniLM-L6-v2
2025-10-03 19:20:12 | INFO     | src.models.embeddings:__init__ | Embedding model loaded. Dimension: 384
2025-10-03 19:20:12 | INFO     | src.data.database.vector_store:__init__ | Vector store ready. Documents: 0
2025-10-03 19:20:14 | INFO     | src.models.llm:__init__ | Ollama LLM initialized: mistral
2025-10-03 19:20:14 | INFO     | src.api.routes:<module> | All components initialized successfully
2025-10-03 19:20:14 | INFO     | __main__:main | Starting RAG System API Server...
2025-10-03 19:20:14 | INFO     | __main__:main | Host: 0.0.0.0
2025-10-03 19:20:14 | INFO     | __main__:main | Port: 8000
2025-10-03 19:20:14 | INFO     | __main__:main | Ollama Model: mistral
2025-10-03 19:20:14 | INFO     | src.api.server:create_app | FastAPI application created successfully
2025-10-03 19:22:35 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206001_Key_Aggregates.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Created 15 chunks from 5206001_Key_Aggregates.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206002_Expenditure_Volume_Measures.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Created 30 chunks from 5206002_Expenditure_Volume_Measures.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206003_Expenditure_Current_Price.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Created 18 chunks from 5206003_Expenditure_Current_Price.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206004_Expenditure_Price_Indexes.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5206004_Expenditure_Price_Indexes.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206005_Expenditure_Implicit_Price_Deflators.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5206005_Expenditure_Implicit_Price_Deflators.xlsx
2025-10-03 19:22:39 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206006_Industry_GVA.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Created 38 chunks from 5206006_Industry_GVA.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206007_Income_From_GDP.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Created 12 chunks from 5206007_Income_From_GDP.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206008_Household_Final_Consumption_Expenditure.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Created 25 chunks from 5206008_Household_Final_Consumption_Expenditure.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206009_Changes_In_Inventories.xlsx
2025-10-03 19:22:40 | INFO     | src.data.processors.tabular_processor:process_file | Created 8 chunks from 5206009_Changes_In_Inventories.xlsx
